LONGITUDE.I,LATITUDE.I,Intersection
-77.032637,38.928748,14th Street & Irving St. NW
-77.061673,38.940902,Connecticut Ave. & Tilden St. NW
-77.068642,38.905031,Francis Scott Key Bridge & M St. NW
-77.017664,38.878082,4th St. b/t I & M St. SW
-77.007932,38.897118,1st St. & Massachusetts Ave. NE
-77.005917,38.902532,1st St. & K St. NE
-77.041001,38.905678,M St. b/t Thomas Cir & New Hampshire Ave. NW
-77.033706,38.895536,15th St. b/t New York Ave. & Constitution Ave. NW
-77.028522,38.900588,New York Ave. b/t 15th St. & 9th St. NW
-77.027074,38.8948,Pennslyvania Ave. b/t 6th St. & 15th St. NW
-77.048695,38.911487,Florida Ave & Massachusetts Ave. NW
